,task_id,flow_id,associated
0,2248,105,0
1,2250,85,1
2,159,101,1
3,72,105,0
4,2201,84,1
5,2244,77,0
6,2154,78,0
7,131,90,1
8,2196,95,1
9,2183,86,1
10,2219,98,0
11,2181,79,0
12,2245,88,0
13,1752,83,0
14,2180,87,1
15,2242,105,1
16,2167,86,0
17,2154,79,0
18,2176,80,1
19,2166,82,1
20,162,60,0
21,73,99,0
22,15,80,0
23,186,101,0
24,116,57,1
25,2184,86,1
26,32,97,0
27,2210,91,1
28,2224,108,0
29,95,63,1
30,2217,84,0
31,194,83,0
32,98,84,0
33,2240,84,1
34,2182,99,1
35,2216,103,1
36,2150,80,1
37,2194,65,0
38,2192,66,0
39,2207,87,1
40,2190,80,0
41,167,106,0
42,2220,94,1
43,2227,84,1
44,2235,79,1
45,2160,108,1
46,2211,82,1
47,2217,97,1
48,2269,101,0
49,70,95,0
50,2164,81,1
51,186,95,1
52,2268,95,1
53,196,86,0
54,2200,78,0
55,29,103,0
56,42,75,1
57,2168,101,1
58,2212,83,0
59,2169,78,1
60,2252,90,1
61,2155,79,1
62,96,63,1
63,42,66,1
64,177,99,1
65,2227,108,0
66,1757,63,1
67,2154,81,0
68,2173,81,0
69,2230,66,0
70,167,57,0
71,2151,101,0
72,178,85,1
73,2181,87,0
74,2224,93,0
75,2186,99,1
76,2179,105,1
77,2172,95,0
78,2247,93,0
79,96,58,0
80,193,101,1
81,2213,101,0
82,120,81,1
83,2149,82,1
84,184,93,0
85,2162,94,1
86,2169,106,0
87,2159,87,0
88,2230,79,0
89,126,96,1
90,2183,78,1
91,180,81,1
92,2216,103,0
93,2226,103,1
94,2229,87,1
95,123,58,0
96,2251,84,1
97,57,64,1
98,2215,103,1
99,2176,95,1
100,2181,92,0
101,94,60,1
102,2174,106,0
103,2252,78,1
104,2150,59,0
105,2166,90,0
106,2158,59,0
107,2212,94,1
108,88,87,0
109,2134,103,1
110,2156,105,0
111,2212,90,0
112,2207,106,0
113,120,85,0
114,2196,58,0
115,2157,80,0
116,2212,105,0
117,2177,101,1
118,120,106,1
119,159,81,1
120,2193,80,1
121,2250,86,0
122,2205,84,0
