task_id,flow_id,predictive_accuracy
2165,108,0.894834
63,59,0.991301627
1719,74,0.934
2134,101,0
2214,81,0.484848
41,58,0
2165,103,0
2236,82,0
53,59,0.692671
123,78,0
97,98,0
2164,83,0.708116
85,95,0
175,106,0.605948
2225,106,0
176,93,0
2250,95,0
2245,82,0
2193,97,0
127,79,0
168,90,0
2163,108,0.875014
2204,83,0
2133,86,0.857808
2214,78,0.613636
2209,82,0
2219,95,0.8
15,76,0.958512
2196,93,0
124,90,0
2155,103,0
2168,91,0
2211,99,0
13,61,0.692308
2202,57,0
127,87,0.711738
2168,86,0.924854
59,87,0
179,85,0
2149,82,0.692376
26,67,0.903241
9,65,0.829268
2251,80,0
2243,95,0
2231,108,0.254717
2230,86,0.40625
182,80,0.963997
48,58,0.828383
2252,91,0.903495
2241,108,0
2171,84,0.949312
2245,96,0
160,101,0
2200,93,0.103985
48,72,0.834983
95,63,0.796969697
2217,94,0.732777
2195,96,0.543478
174,97,0
2223,103,0
2196,87,0.894128
2207,82,0.745192
1711,77,0.942
2207,108,0
188,99,0
2211,94,0.953054
2268,85,0
2164,91,0.441562
2232,105,0.5
43,64,0.915671
2195,106,0
172,58,0
2203,95,0
2164,98,0
170,101,0
2229,59,0
2246,80,0.791913
163,77,0
2215,86,0.370861
2200,82,0.944414
2129,101,0
2196,86,0
175,83,0.665602
194,91,0
197,96,0.227103
2242,87,0.700535
2184,103,0
2207,99,0.466346
28,101,0
2170,98,0.109131
66,66,0.784070796
36,76,0.967965
2243,80,0
131,101,0
2191,72,0
2234,99,0
2246,56,0
2177,85,0
2128,64,0
2227,90,0
2247,78,0.218339
126,65,0
131,93,0
2244,63,0
182,64,0
2151,96,0
131,58,0
85,57,0
2240,98,0
2228,82,0
181,96,0
74,97,0
2223,94,0.901149
2177,79,0
191,80,0
2234,79,0.148148
2239,103,0.933333
2133,78,0
2234,87,0.449074
178,79,0
18,65,0.688
2151,108,0
2179,85,0
2244,85,0.847058
171,72,0
2229,91,0.686049
2221,76,0
194,96,0
2167,106,0
57,63,0.883191
130,87,0
2226,79,0.4036
2149,92,0
2236,105,0.5
183,84,0.924778
13,75,0.702797
1717,75,0.1995
2176,80,0
2224,87,0
51,75,0.5
57,61,0
15,106,0
158,81,0
32,66,0.993905
172,80,0.871091
158,94,0.72564
130,96,0
2207,81,0
1723,70,1
2202,90,0.711111
122,94,0
124,94,0.516134
27,76,0.853261
2224,57,0
87,72,0.971120996
2252,82,0.972946
1735,64,0.948484848
54,95,0
2205,96,0
200,92,0.84887
2056,82,0.785289
2056,97,0.575344
115,87,0
2126,82,0
130,94,0.609971
2203,97,0.259563
161,66,0
2216,84,0
89,105,0
124,93,0
72,94,0
2152,81,0.71505
159,84,0
2168,96,0.233873
2248,82,0
199,86,0.871177
2206,79,0
2233,81,0.5
2157,80,0.81511
2152,78,0
2191,99,0
2131,94,0
170,92,0.86324
28,72,0
2150,96,0
2158,81,0.706807
2236,78,0
158,70,0
51,59,0.4
2207,64,0
58,96,0
2195,98,0.51087
2153,84,0
2170,87,0.691537
95,91,0
2247,97,0.162078
128,74,0
2186,97,0
2128,99,0
2134,83,0
13,60,0.748252
2221,66,0
2180,97,0.1
169,84,0
2195,87,0.763587
2179,108,0
2134,75,0
2236,99,0
2251,80,0.516304
2237,86,0
2174,86,0.6347
199,98,0.797896
167,90,0.104217
1721,60,0.699
24,74,1
2128,93,0.009458
2174,87,0.63465
2191,78,0.54854
2056,92,0
171,92,0.939817
2224,94,0.552525
2220,99,0.555556
176,103,0.755987
39,61,0.6875
2212,86,0.785714
2194,81,0.92446
2169,86,0
1713,75,0.196
168,103,0.688765
175,99,0
165,103,0.906688
29,67,0
120,86,0
2205,74,0
2248,67,0
2171,101,0.610451
180,97,0.257824
1916,93,0
169,96,0.201546
2134,80,0.970732
2195,105,0.630435
2203,99,0
66,90,0
2130,92,0.516033
200,108,0.831267
197,108,0
130,96,0.247072
2171,79,0
36,72,0.818615
2126,101,0
2132,57,0
129,86,0.972055
99,77,0
166,78,0.78075
171,84,0.940367
2177,82,0.44878
2199,79,0
191,83,0.895595
172,79,0.794397
127,105,0
182,98,0.954285
2190,96,0.9955
127,108,0.759949
122,91,0
2223,101,0
2198,79,0.839028
27,91,0
2247,101,0
166,81,0.731324
2134,103,0
127,84,0.779789
38,76,0.830357
2170,92,0.762806
2195,95,0.638587
30,84,0
2171,90,0
2224,94,0
165,106,0.898274
131,78,0
2189,79,0
171,78,0.935076
2132,91,0.701439
2240,103,0.978328
2229,101,0.71008
130,79,0
2153,101,0
13,57,0.674825
175,80,0.663024
125,95,0.643975
89,67,0.935866983
2190,106,0
170,76,0
163,97,0
2196,92,0.881317
74,58,0.960658083
2203,93,0.306011
2175,84,0.584071
168,78,0.844695
2230,106,0
2196,91,0
195,83,0
191,108,0.90201
2227,106,0.333333
2158,80,0
1731,66,0.993722707
161,90,0.662777
2220,106,0.555556
2159,70,0
120,82,0
2239,99,0
175,96,0
91,57,0.390456696
2248,78,0
2232,99,0.5
83,57,0.985228951
2158,106,0.421938
54,59,0.76129
58,70,0.8644
127,57,0
43,82,0
2191,92,0.54854
2192,56,0
2165,98,0.729986
180,82,0.591166
48,67,0.838284
28,60,0.90427
195,103,0
20,86,0
2207,98,0.706731
2127,106,0.009458
2214,105,0.386364
93,98,0
2240,108,0
28,93,0
2156,82,0
177,81,0
2203,78,0
2244,80,0
1736,76,0.748697917
2127,105,0.843211
178,108,0.884896
2203,92,0.907104
2195,83,0
2165,98,0
2211,87,0.604434
2129,78,0.905369
1703,75,0.912280702
2233,96,0
2196,103,0.226157
168,87,0
182,106,0
2163,84,0.888008
2224,103,0.090909
2233,95,0
190,76,0
2132,79,0.543497
164,93,0.445102
2230,106,0.28125
2206,83,0
185,70,0
2210,98,0
2219,84,0.7
2218,94,0.887755
2127,79,0
6,74,0.7736
2212,101,0
10,93,0
167,96,0
198,106,0.261174
2199,78,0
2192,94,0.977967
169,96,0
2178,78,0
200,86,0
162,95,0.836969
129,91,0.488412
127,80,0
2250,101,0
89,80,0
2209,91,0.131772
2133,66,0
164,99,0.858409
2234,93,0.5
116,78,0
2133,91,0
181,106,0.208952
2152,59,0
2198,105,0.867714
2232,103,0.5
178,93,0
98,97,0
2210,85,0.728758
59,98,0
189,87,0.925069
57,108,0
2193,86,0.703804
186,96,0.333994
2225,78,0.77208
194,95,0.710141
160,108,0
190,96,0.499941
2228,94,0.871287
175,99,0.653158
2210,95,0
2251,93,0
2160,80,0.800186
187,92,0
2164,105,0.461949
190,85,0.883787
181,86,0.925905
2236,108,0
2176,87,0.626087
2129,86,0.951096
174,80,0.894311
186,93,0
2166,65,0
2192,97,0.517848
1723,58,0
1703,66,0.877192982
122,65,0
199,83,0.892971
2194,82,0
1702,72,0
2168,81,0.922559
4,108,0
2240,87,0.972136
88,56,0.555072464
31,108,0
2163,89,0
2178,80,0.756757
28,70,0.982384
2169,61,0
2249,96,0.829851
2153,98,0
2172,83,0
2229,96,0.53851
40,103,0
2251,90,0
162,106,0
2225,93,0.358974
2175,78,0
2188,60,0
2163,101,0
2249,106,0
2235,66,0
124,85,0
2213,96,0
2236,95,0.5
24,77,0.982398
190,101,0
2191,108,0.432451
163,86,0
2246,103,0.530482
125,101,0
130,90,0.150387
68,74,0.698536585
2222,103,0.206452
1723,99,0
2239,97,0.866667
58,56,0
122,95,0.879019
2170,92,0
1757,64,0
2168,98,0.567483
2159,91,0.742728
1736,96,0
187,87,0
2186,96,0.9955
2188,80,0.9485
99,65,0.761214953
2129,103,0
2134,90,0.100027
2131,85,0.676386
2247,97,0
2180,106,0.1
195,92,0
2183,91,0.652361
2214,105,0
2178,98,0.547297
192,92,0
197,86,0.261435
2225,92,0.77208
2167,103,0
2201,91,0
2220,91,0
2168,66,0
164,78,0
2164,91,0
2250,99,0
185,86,0.972379
2158,103,0.707505
197,84,0
2097,98,0
2219,85,0
2178,82,0
2132,80,0
2171,98,0.831039
2196,85,0
189,94,0.818942
2181,85,0.688811
193,97,0.501104
164,90,0.445102
2180,105,0.1
2167,99,0.742822
193,79,0.689239
2178,103,0.013514
129,56,0
189,83,0.916947
159,79,0
199,97,0
2245,98,0
2232,90,0.5
2167,108,0.872725
2242,75,0
2244,78,0.824188
2220,106,0
57,93,0
163,98,0.193347
177,77,0
129,87,0.967452
2223,90,0.613793
2186,86,0
2223,80,0
77,72,0.56315
121,99,0
168,96,0
2223,79,0.848276
2252,99,0
2226,105,0.7118
183,83,0
2186,79,0
170,93,0
2132,81,0
2129,106,0
2243,78,0
2233,85,0
2191,81,0.5241
2153,81,0.851116
2193,77,0
162,82,0.856651
185,87,0.945852
2131,86,0
180,80,0.678386
2189,85,0.811343
2235,83,0.426036
2209,78,0.896047
158,92,0.732238
192,105,0
29,70,0
2233,93,0.451613
2202,90,0
54,79,0
69,80,0
2195,84,0
2203,90,0.306011
2194,99,0
13,64,0.674825
2234,108,0
2195,56,0
2129,106,0.353
2129,105,0.912633
2234,83,0.50463
2244,99,0
2242,84,0
2245,92,0
2158,93,0.421938
163,75,0
182,106,0.613472
55,77,0.958621
57,64,0.877493
179,81,0.86582
9,59,0.746341
2056,92,0.791954
2176,82,0.571014
2203,75,0
2233,80,0
198,79,0
160,98,0.878537
2232,83,0.203704
176,101,0
131,61,0
40,94,0
2205,82,0.705729
121,85,0
183,94,0.924543
43,56,0.605955
121,106,0
2153,98,0.692472
168,91,0
1735,63,0.797835498
2221,96,0
2197,90,0
122,96,0
2248,101,0.099658
51,85,0
2180,79,0.1995
125,98,0.016737
2240,97,0.978328
53,99,0
2158,94,0.736674
2226,106,0.3384
2249,83,0.907463
166,87,0.71443
2176,98,0.878261
2150,79,0.180066
2167,108,0
2201,99,0.422222
2167,81,0.830041
2216,92,0
126,108,0
2245,79,0.289084
124,80,0
2192,99,0.536928
2219,82,0.5
2184,96,0
2188,91,0
2217,81,0.818372
189,84,0
2239,92,0
2211,105,0
2129,98,0.781946
166,94,0.780748
176,91,0.759824
