task_id,flow_id,predictive_accuracy
72,75,0.713636364
95,63,0.796969697
88,70,0.850144928
85,57,0.709722222
91,67,0.877929403
68,75,0.448780488
39,57,0.634615
98,70,0.780769231
58,74,0.8674
15,57,0.915594
20,56,0.1
99,72,0.355140187
32,61,0.954876
40,62,0.448598
73,57,0.38635
48,57,0.735974
10,64,0.783784
93,76,0.697777778
39,72,0.692308
3,77,0.93836
22,62,0.196
71,62,0.1973
7,62,0.464602
49,58,0.700418
34,74,0.633333
26,61,0.960494
4,75,0.929825
18,64,0.642
10,61,0.777027
4,64,0.824561
22,77,0.749
48,58,0.828383
75,66,0.96335
31,57,0.663
72,59,0.724825175
48,70,0.841584
64,70,0.931578947
93,65,0.6
9,64,0.765854
20,60,0.782
116,75,0.911111111
39,63,0.677885
1,76,0.98441
38,58,0.854167
53,67,0.604019
54,75,0.812903
6,61,0.8457
31,61,0.701
75,75,0.19435
28,61,0.895552
10,62,0.756757
57,60,0.894587
37,57,0.71224
12,63,0.924
3,58,0.874218
35,66,0.95082
59,67,0.94
16,57,0.3005
48,67,0.838284
35,65,0.953552
26,66,0.982948
14,58,0.7595
13,56,0.702797
16,61,0.773
51,56,0
52,61,0.751852
47,72,0.344371
10,77,0.804054
54,60,0.767742
28,64,0.866548
28,67,0.922242
48,61,0.768977
41,58,0.925329
14,75,0.197
21,60,0.916667
51,58,0.7
42,75,0.754902
32,72,0.914119
2,76,0.935412
39,76,0.778846
31,62,0.7
28,60,0.90427
36,65,0.977056
38,61,0.809524
2,59,0.951002
87,72,0.971120996
71,65,0.94745
93,70,0.678888889
43,72,0.745925
79,57,0.2263
29,70,0.852174
72,60,0.734265734
62,57,0.836302895
86,76,0.848641304
5,61,0.681416
34,59,0.711111
20,77,0.917
54,70,0.858065
36,57,0.640693
28,65,0.966548
30,60,0.970035
3,57,0.674593
91,63,0.900873362
48,62,0.735974
38,66,0.797619
71,64,0.84625
65,61,0.669247788
24,72,0.998769
7,57,0.464602
28,70,0.982384
49,60,0.853862
32,76,0.978712
53,77,0.702128
18,65,0.688
36,56,0.142857
79,77,0.92175
30,63,0.898959
12,66,0.961
59,70,0.96
73,75,0.19685
50,57,0.802721
7,66,0.787611
38,76,0.830357
51,59,0.4
43,61,0.929581
26,77,0.904861
49,76,0.906054
51,70,0.7
53,76,0.723404
24,65,1
31,75,0.709
20,65,0.9115
12,61,0.8765
