task_id,flow_id,task_type,dataset_id,predictive_accuracy
72,75,Learning Curve,13,0.713636364
95,63,Learning Curve,36,0.796969697
88,70,Learning Curve,29,0.850144928
85,57,Learning Curve,26,0.709722222
91,67,Learning Curve,32,0.877929403
68,75,Learning Curve,9,0.448780488
39,57,Supervised Classification,40,0.634615
98,70,Learning Curve,40,0.780769231
58,74,Supervised Classification,60,0.8674
15,57,Supervised Classification,15,0.915594
20,56,Supervised Classification,20,0.1
99,72,Learning Curve,41,0.355140187
32,61,Supervised Classification,32,0.954876
40,62,Supervised Classification,41,0.448598
73,57,Learning Curve,14,0.38635
48,57,Supervised Classification,49,0.735974
10,64,Supervised Classification,10,0.783784
93,76,Learning Curve,34,0.697777778
39,72,Supervised Classification,40,0.692308
3,77,Supervised Classification,3,0.93836
22,62,Supervised Classification,22,0.196
71,62,Learning Curve,12,0.1973
7,62,Supervised Classification,7,0.464602
49,58,Supervised Classification,50,0.700418
34,74,Supervised Classification,34,0.633333
26,61,Supervised Classification,26,0.960494
4,75,Supervised Classification,4,0.929825
18,64,Supervised Classification,18,0.642
10,61,Supervised Classification,10,0.777027
4,64,Supervised Classification,4,0.824561
22,77,Supervised Classification,22,0.749
48,58,Supervised Classification,49,0.828383
75,66,Learning Curve,16,0.96335
31,57,Supervised Classification,31,0.663
72,59,Learning Curve,13,0.724825175
48,70,Supervised Classification,49,0.841584
64,70,Learning Curve,4,0.931578947
93,65,Learning Curve,34,0.6
9,64,Supervised Classification,9,0.765854
20,60,Supervised Classification,20,0.782
116,75,Learning Curve,59,0.911111111
39,63,Supervised Classification,40,0.677885
1,76,Supervised Classification,1,0.98441
38,58,Supervised Classification,39,0.854167
53,67,Supervised Classification,54,0.604019
54,75,Supervised Classification,55,0.812903
6,61,Supervised Classification,6,0.8457
31,61,Supervised Classification,31,0.701
75,75,Learning Curve,16,0.19435
28,61,Supervised Classification,28,0.895552
10,62,Supervised Classification,10,0.756757
57,60,Supervised Classification,59,0.894587
37,57,Supervised Classification,37,0.71224
12,63,Supervised Classification,12,0.924
3,58,Supervised Classification,3,0.874218
35,66,Supervised Classification,35,0.95082
59,67,Supervised Classification,61,0.94
16,57,Supervised Classification,16,0.3005
48,67,Supervised Classification,49,0.838284
35,65,Supervised Classification,35,0.953552
26,66,Supervised Classification,26,0.982948
14,58,Supervised Classification,14,0.7595
13,56,Supervised Classification,13,0.702797
16,61,Supervised Classification,16,0.773
51,56,Supervised Classification,52,0
52,61,Supervised Classification,53,0.751852
47,72,Supervised Classification,48,0.344371
10,77,Supervised Classification,10,0.804054
54,60,Supervised Classification,55,0.767742
28,64,Supervised Classification,28,0.866548
28,67,Supervised Classification,28,0.922242
48,61,Supervised Classification,49,0.768977
41,58,Supervised Classification,42,0.925329
14,75,Supervised Classification,14,0.197
21,60,Supervised Classification,21,0.916667
51,58,Supervised Classification,52,0.7
42,75,Supervised Classification,43,0.754902
32,72,Supervised Classification,32,0.914119
2,76,Supervised Classification,2,0.935412
39,76,Supervised Classification,40,0.778846
31,62,Supervised Classification,31,0.7
28,60,Supervised Classification,28,0.90427
36,65,Supervised Classification,36,0.977056
38,61,Supervised Classification,39,0.809524
2,59,Supervised Classification,2,0.951002
87,72,Learning Curve,28,0.971120996
71,65,Learning Curve,12,0.94745
93,70,Learning Curve,34,0.678888889
43,72,Supervised Classification,44,0.745925
79,57,Learning Curve,20,0.2263
29,70,Supervised Classification,29,0.852174
72,60,Learning Curve,13,0.734265734
62,57,Learning Curve,2,0.836302895
86,76,Learning Curve,27,0.848641304
5,61,Supervised Classification,5,0.681416
34,59,Supervised Classification,34,0.711111
20,77,Supervised Classification,20,0.917
54,70,Supervised Classification,55,0.858065
36,57,Supervised Classification,36,0.640693
28,65,Supervised Classification,28,0.966548
30,60,Supervised Classification,30,0.970035
3,57,Supervised Classification,3,0.674593
91,63,Learning Curve,32,0.900873362
48,62,Supervised Classification,49,0.735974
38,66,Supervised Classification,39,0.797619
71,64,Learning Curve,12,0.84625
65,61,Learning Curve,5,0.669247788
24,72,Supervised Classification,24,0.998769
7,57,Supervised Classification,7,0.464602
28,70,Supervised Classification,28,0.982384
49,60,Supervised Classification,50,0.853862
32,76,Supervised Classification,32,0.978712
53,77,Supervised Classification,54,0.702128
18,65,Supervised Classification,18,0.688
36,56,Supervised Classification,36,0.142857
79,77,Learning Curve,20,0.92175
30,63,Supervised Classification,30,0.898959
12,66,Supervised Classification,12,0.961
59,70,Supervised Classification,61,0.96
73,75,Learning Curve,14,0.19685
50,57,Supervised Classification,51,0.802721
7,66,Supervised Classification,7,0.787611
38,76,Supervised Classification,39,0.830357
51,59,Supervised Classification,52,0.4
43,61,Supervised Classification,44,0.929581
26,77,Supervised Classification,26,0.904861
49,76,Supervised Classification,50,0.906054
51,70,Supervised Classification,52,0.7
53,76,Supervised Classification,54,0.723404
24,65,Supervised Classification,24,1
31,75,Supervised Classification,31,0.709
20,65,Supervised Classification,20,0.9115
12,61,Supervised Classification,12,0.8765
21,66,Supervised Classification,21,0.934606
27,76,Supervised Classification,27,0.853261
58,76,Supervised Classification,60,0.8198
22,63,Supervised Classification,22,0.7345
26,56,Supervised Classification,26,0.333333
7,70,Supervised Classification,7,0.79646
20,57,Supervised Classification,20,0.232
13,75,Supervised Classification,13,0.702797
71,72,Learning Curve,12,0.9588
68,70,Learning Curve,9,0.709268293
90,56,Learning Curve,31,0.7
20,72,Supervised Classification,20,0.979
47,74,Supervised Classification,48,0.529801
11,76,Supervised Classification,11,0.8464
21,56,Supervised Classification,21,0.700231
28,57,Supervised Classification,28,0.265836
9,76,Supervised Classification,9,0.609756
22,75,Supervised Classification,22,0.196
27,56,Supervised Classification,27,0.630435
36,76,Supervised Classification,36,0.967965
34,62,Supervised Classification,34,0.7
32,66,Supervised Classification,32,0.993905
53,59,Supervised Classification,54,0.692671
26,70,Supervised Classification,26,0.93071
29,58,Supervised Classification,29,0.778261
54,62,Supervised Classification,55,0.787097
24,57,Supervised Classification,24,0.985229
43,57,Supervised Classification,44,0.783525
9,59,Supervised Classification,9,0.746341
47,65,Supervised Classification,48,0.615894
58,70,Supervised Classification,60,0.8644
31,66,Supervised Classification,31,0.709
23,57,Supervised Classification,23,0.479294
58,58,Supervised Classification,60,0.7996
34,58,Supervised Classification,34,0.7
6,60,Supervised Classification,6,0.87795
3,62,Supervised Classification,3,0.660513
24,74,Supervised Classification,24,1
53,60,Supervised Classification,54,0.70331
36,70,Supervised Classification,36,0.927706
3,61,Supervised Classification,3,0.9903
32,60,Supervised Classification,32,0.965793
12,60,Supervised Classification,12,0.8895
57,57,Supervised Classification,59,0.823362
54,61,Supervised Classification,55,0.787097
10,74,Supervised Classification,10,0.804054
50,67,Supervised Classification,51,0.85034
11,63,Supervised Classification,11,0.9072
29,62,Supervised Classification,29,0.855072
51,62,Supervised Classification,52,0.6
59,56,Supervised Classification,61,0.333333
11,61,Supervised Classification,11,0.7744
7,59,Supervised Classification,7,0.747788
1,59,Supervised Classification,1,0.98441
57,63,Supervised Classification,59,0.883191
40,67,Supervised Classification,41,0.696262
32,70,Supervised Classification,32,0.979894
21,61,Supervised Classification,21,0.884838
55,56,Supervised Classification,56,0.613793
47,76,Supervised Classification,48,0.582781
3,67,Supervised Classification,3,0.874218
41,70,Supervised Classification,42,0.93265
22,57,Supervised Classification,22,0.269
48,72,Supervised Classification,49,0.834983
38,74,Supervised Classification,39,0.854167
40,57,Supervised Classification,41,0.528037
13,59,Supervised Classification,13,0.716783
10,65,Supervised Classification,10,0.851351
58,59,Supervised Classification,60,0.7954
31,56,Supervised Classification,31,0.7
51,75,Supervised Classification,52,0.5
27,60,Supervised Classification,27,0.853261
58,66,Supervised Classification,60,0.7324
4,66,Supervised Classification,4,0.842105
36,64,Supervised Classification,36,0.95974
29,66,Supervised Classification,29,0.813043
35,77,Supervised Classification,35,0.972678
53,57,Supervised Classification,54,0.522459
14,72,Supervised Classification,14,0.777
41,59,Supervised Classification,42,0.918009
50,76,Supervised Classification,51,0.802721
57,66,Supervised Classification,59,0.860399
34,75,Supervised Classification,34,0.7
13,57,Supervised Classification,13,0.674825
