task_id,flow_id,task_type,dataset_id,predictive_accuracy,setup_string,flow_class
72,75,Learning Curve,13,0.713636364,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
95,63,Learning Curve,36,0.796969697,weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0,trees
88,70,Learning Curve,29,0.850144928,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
85,57,Learning Curve,26,0.709722222,weka.classifiers.rules.OneR -- -B 6,rules
91,67,Learning Curve,32,0.877929403,weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5,Bayes
68,75,Learning Curve,9,0.448780488,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
39,57,Supervised Classification,40,0.634615,weka.classifiers.rules.OneR -- -B 6,rules
98,70,Learning Curve,40,0.780769231,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
58,74,Supervised Classification,60,0.8674,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
15,57,Supervised Classification,15,0.915594,weka.classifiers.rules.OneR -- -B 6,rules
20,56,Supervised Classification,20,0.1,weka.classifiers.rules.ZeroR,rules
99,72,Learning Curve,41,0.355140187,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
32,61,Supervised Classification,32,0.954876,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
40,62,Supervised Classification,41,0.448598,weka.classifiers.trees.DecisionStump,trees
73,57,Learning Curve,14,0.38635,weka.classifiers.rules.OneR -- -B 6,rules
48,57,Supervised Classification,49,0.735974,weka.classifiers.rules.OneR -- -B 6,rules
10,64,Supervised Classification,10,0.783784,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
93,76,Learning Curve,34,0.697777778,weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,meta
39,72,Supervised Classification,40,0.692308,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01""",functions
3,77,Supervised Classification,3,0.93836,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
22,62,Supervised Classification,22,0.196,weka.classifiers.trees.DecisionStump,trees
71,62,Learning Curve,12,0.1973,weka.classifiers.trees.DecisionStump,trees
7,62,Supervised Classification,7,0.464602,weka.classifiers.trees.DecisionStump,trees
49,58,Supervised Classification,50,0.700418,weka.classifiers.bayes.NaiveBayes,Bayes
34,74,Supervised Classification,34,0.633333,weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1,functions
26,61,Supervised Classification,26,0.960494,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
4,75,Supervised Classification,4,0.929825,weka.classifiers.meta.AdaBoostM1 -- -P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
18,64,Supervised Classification,18,0.642,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
10,61,Supervised Classification,10,0.777027,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
4,64,Supervised Classification,4,0.824561,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
22,77,Supervised Classification,22,0.749,weka.classifiers.meta.LogitBoost -- -P 100 -F 0 -R 1 -L -1.7976931348623157E308 -H 1.0 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump,meta
48,58,Supervised Classification,49,0.828383,weka.classifiers.bayes.NaiveBayes,Bayes
75,66,Learning Curve,16,0.96335,"weka.classifiers.lazy.IBk -- -K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",Lazy
31,57,Supervised Classification,31,0.663,weka.classifiers.rules.OneR -- -B 6,rules
72,59,Learning Curve,13,0.724825175,weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1,rules
